DrugBankIDLabel,UniProtIDLabel,Interaction
5239,283,1
5239,1409,1
5239,2974,1
5239,2549,1
5645,2010,1
5645,311,1
5645,4399,1
5645,2889,1
5645,1671,1
3349,3822,1
3349,2431,1
3349,1806,1
6654,153,1
6654,357,1
6654,1498,1
3672,3323,1
3672,682,1
3672,3309,1
5713,2923,1
5713,1083,1
5713,2989,1
5066,4255,1
6093,366,1
2419,4399,1
2815,510,1
2815,876,1
2815,1752,1
2815,2622,1
2815,106,1
2815,758,1
2815,1181,1
3704,1724,1
3704,2119,1
3704,3197,1
2637,1148,1
1532,2240,1
3864,4491,1
3864,3888,1
5659,1759,1
5659,1617,1
4231,2890,1
4231,3287,1
4231,2157,1
4231,3486,1
4231,70,1
4231,1086,1
4231,3741,1
3353,3487,1
3353,3697,1
3353,4137,1
3353,925,1
3353,3843,1
3353,3661,1
3353,3509,1
4992,4052,1
4992,550,1
4992,1776,1
7251,4399,1
7145,4092,1
2552,3843,1
2552,3661,1
6817,1944,1
6817,925,1
6817,1861,1
5166,1075,1
4759,3654,1
5915,2478,1
6791,1888,1
6791,2019,1
6791,294,1
4076,3041,1
4076,684,1
4076,2477,1
4076,3578,1
4076,3336,1
4076,2945,1
4076,4022,1
4076,82,1
4076,4164,1
4076,1999,1
4076,330,1
4076,771,1
4076,3746,1
4076,3445,1
4076,4451,1
4076,2559,1
4076,1233,1
4076,2021,1
4076,2588,1
4076,3074,1
4076,3182,1
4076,941,1
4076,3132,1
5997,174,1
6034,3496,1
4814,3041,1
4814,684,1
4814,2477,1
4814,3578,1
4814,3336,1
4814,2945,1
4814,4022,1
4814,82,1
4814,4164,1
4814,771,1
4814,3746,1
4814,3445,1
4814,1999,1
4814,330,1
4814,4451,1
4814,3936,1
4814,1015,1
4814,2451,1
4814,2559,1
4814,3296,1
4814,3041,1
4814,684,1
4814,2477,1
4814,3578,1
4814,3336,1
4814,2945,1
4814,4022,1
4814,82,1
4814,4164,1
4814,1999,1
4814,330,1
4814,771,1
4814,3746,1
4814,3445,1
4814,4451,1
4814,2559,1
6342,4491,1
6342,857,1
6342,27,1
6342,2577,1
1964,1181,1
1964,540,1
1964,1265,1
1964,2841,1
1964,619,1
1182,2478,1
3625,4351,1
292,3041,1
292,684,1
292,2477,1
292,3578,1
292,3336,1
292,2945,1
292,4022,1
292,82,1
292,4164,1
292,1999,1
292,330,1
292,771,1
292,3746,1
292,3445,1
292,4451,1
292,2559,1
292,4588,1
292,14,1
292,3495,1
292,2349,1
7171,1857,1
6040,1581,1
6040,3453,1
6040,3901,1
5309,1075,1
1736,3041,1
1736,684,1
1736,2477,1
1736,3578,1
1736,3336,1
1736,2945,1
1736,4588,1
1736,14,1
1736,3495,1
1736,2349,1
1736,3041,1
1736,684,1
1736,2477,1
1736,3578,1
1736,3336,1
1736,2945,1
1736,4022,1
1736,82,1
1736,4164,1
1736,1999,1
1736,330,1
1736,771,1
1736,3746,1
1736,3445,1
1736,4451,1
1736,2559,1
3793,4141,1
3793,2766,1
3793,117,1
3793,4083,1
3793,2553,1
3793,2540,1
3793,1320,1
3793,2678,1
3793,4243,1
6390,4439,1
6390,3622,1
6390,4461,1
6390,1591,1
6390,3770,1
6390,653,1
6390,3497,1
6390,1085,1
6390,1724,1
6390,2119,1
6390,3197,1
6390,3843,1
3988,1181,1
3988,3340,1
3988,1265,1
3988,3020,1
3988,540,1
3988,1266,1
3988,1987,1
3988,2364,1
1535,4399,1
1535,4217,1
1535,1617,1
1535,1759,1
1535,2478,1
5437,900,1
5437,1656,1
5437,1319,1
5437,3075,1
5437,3724,1
5437,2996,1
5437,3486,1
5437,3287,1
5437,2890,1
5437,70,1
5437,3845,1
5437,2942,1
5437,4499,1
5437,3741,1
5437,1617,1
5437,1724,1
5437,2119,1
5437,3487,1
5437,3697,1
5437,4137,1
5437,4399,1
5437,2889,1
5437,1671,1
5437,2749,1
5437,821,1
4334,1086,1
4334,3845,1
4334,3075,1
4334,3486,1
4334,3741,1
4334,3287,1
4334,2157,1
4334,70,1
6584,900,1
6584,1086,1
6584,3724,1
6584,3075,1
6584,3697,1
6584,2890,1
6584,2996,1
6584,3487,1
6584,3486,1
6584,4137,1
6584,1319,1
6584,1656,1
6584,3287,1
6584,3845,1
6584,3741,1
6584,1724,1
6584,2119,1
6584,3197,1
6584,3843,1
6584,3661,1
6584,1656,1
6584,1319,1
6523,3683,1
4180,2312,1
4180,108,1
3593,1581,1
229,302,1
229,3973,1
229,3901,1
229,2146,1
229,3361,1
2892,1075,1
3130,2662,1
3130,4735,1
3130,2213,1
3130,4759,1
3130,775,1
3130,2063,1
3130,3901,1
3130,2033,1
3130,1526,1
2556,1639,1
2556,1352,1
7261,1581,1
7261,2588,1
7261,3901,1
7261,1514,1
6420,3186,1
7369,1533,1
7369,4161,1
4184,4351,1
6011,736,1
3911,3186,1
5121,3843,1
5121,3661,1
4969,2904,1
4969,1004,1
4969,1574,1
5452,174,1
5452,3231,1
3857,3724,1
3857,2996,1
3857,900,1
3857,1724,1
3857,2119,1
3857,3197,1
3857,3487,1
3857,3697,1
3857,4137,1
4013,2662,1
4649,4439,1
4649,3496,1
4649,653,1
4649,2470,1
4649,2134,1
4649,3622,1
4649,1591,1
614,4316,1
5205,3041,1
5205,3973,1
5205,3887,1
5205,27,1
5205,2577,1
5205,3041,1
5205,684,1
5205,2477,1
5205,3578,1
5205,3336,1
5205,2945,1
5205,4022,1
5205,82,1
5205,4164,1
5205,1999,1
5205,330,1
5205,771,1
5205,3746,1
5205,3445,1
5205,4451,1
5205,2559,1
5205,857,1
5205,1821,1
5205,3132,1
4069,839,1
4069,4610,1
4069,1694,1
4069,3231,1
4069,2865,1
4069,2086,1
359,2243,1
1252,1776,1
1252,153,1
1252,2380,1
1252,4005,1
3229,2633,1
3229,3139,1
3229,2994,1
3229,4179,1
3229,3822,1
3229,3264,1
3229,4351,1
3229,294,1
3229,1118,1
3229,370,1
3229,982,1
3229,3906,1
3229,2110,1
3229,1920,1
4527,1299,1
1091,3527,1
1091,2061,1
1091,4501,1
1231,302,1
1231,4399,1
1231,2889,1
1231,1671,1
1231,1215,1
1231,604,1
1231,153,1
1231,2153,1
1044,3902,1
1044,4706,1
1044,302,1
1044,3561,1
1044,4569,1
1044,2380,1
1044,2153,1
2386,4498,1
2406,1617,1
6347,51,1
6347,3166,1
6347,2479,1
